com.samsung.shealth.activity.day_summary,6100041,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,19920000,2019-09-05 05:00:01.434,14648.336,109681,20331,12895134,1567641600000,eL5K8TBQJK,13004815,358,com.sec.android.app.shealth,2019-09-06 06:25:35.283,4046690,bbb69347-455f-4594-9112-9e42e0397317,bbb69347-455f-4594-9112-9e42e0397317.extra_data.json,747.72437,
0,60,27540000,2019-06-26 06:00:00.809,5431.0615,22034,6894,4333441,1561507200000,eL5K8TBQJK,4355475,120,com.sec.android.app.shealth,2019-06-27 05:33:10.864,677912,bcf9e6de-b693-4ad4-9735-a1c0aaf215ba,bcf9e6de-b693-4ad4-9735-a1c0aaf215ba.extra_data.json,259.16937,
0,60,38280000,2019-06-21 06:00:01.103,3742.0798,32400,4701,3081540,1561075200000,eL5K8TBQJK,3113940,85,com.sec.android.app.shealth,2019-06-22 06:12:37.834,60000,b09ba419-128e-4064-b71d-48e74f7f223a,b09ba419-128e-4064-b71d-48e74f7f223a.extra_data.json,177.91003,
0,60,18960000,2019-10-12 05:00:00.875,10760.457,88308,15574,9806751,1570838400000,eL5K8TBQJK,9895059,273,com.sec.android.app.shealth,2019-10-13 16:25:41.295,2603460,c3e8c1a0-163e-4c4d-8c29-bd69499b7359,c3e8c1a0-163e-4c4d-8c29-bd69499b7359.extra_data.json,513.1292,
0,60,20460000,2019-08-26 05:00:04.166,8187.0176,55799,11255,7031419,1566777600000,eL5K8TBQJK,7087218,195,com.sec.android.app.shealth,2019-08-27 04:35:42.288,738390,7dce1465-f794-4b4f-b2a8-aea114704cfb,7dce1465-f794-4b4f-b2a8-aea114704cfb.extra_data.json,400.40308,
0,-1,-1,2019-01-10 08:19:36.752,0.0,0,0,0,1545004800000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.752,0,224ff654-9ca0-4046-8366-72fd64ea6047,224ff654-9ca0-4046-8366-72fd64ea6047.extra_data.json,0.0,
0,60,22020000,2019-10-11 05:00:00.636,9035.272,216297,11395,6763737,1570752000000,eL5K8TBQJK,6980034,191,com.sec.android.app.shealth,2019-10-12 07:15:24.621,540000,eecd7987-b77d-47f8-8dd6-88c68be8244e,eecd7987-b77d-47f8-8dd6-88c68be8244e.extra_data.json,451.95,
0,60,23460000,2019-08-03 05:00:00.644,7205.648,31193,9618,6199633,1564790400000,eL5K8TBQJK,6230826,171,com.sec.android.app.shealth,2019-08-04 06:15:31.591,300000,c1888a6c-c733-41f3-bb3e-28a8e5efbb01,c1888a6c-c733-41f3-bb3e-28a8e5efbb01.extra_data.json,340.09003,
0,60,11160000,2019-12-01 06:09:07.798,9145.1045,46365,12788,8292949,1575158400000,eL5K8TBQJK,8339314,230,com.sec.android.app.shealth,2019-12-02 23:05:13.135,1064700,507da758-5941-4b83-a892-8a700335e3bc,507da758-5941-4b83-a892-8a700335e3bc.extra_data.json,437.81207,
0,60,34380000,2019-05-18 06:00:10.476,5860.1387,140349,7103,4495575,1558137600000,eL5K8TBQJK,4635924,126,com.sec.android.app.shealth,2019-05-19 05:33:08.153,60000,1c29b4c8-f6d2-4eb6-a01c-2220b06e0047,1c29b4c8-f6d2-4eb6-a01c-2220b06e0047.extra_data.json,278.30994,
