com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2020-01-14 22:11:17.222,2904.16,3715,0,1553385600000,3.5277777,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.222,1cc72a20-097c-43df-82ed-90a9e2bd1f45.binning_data.json,1cc72a20-097c-43df-82ed-90a9e2bd1f45,148.31,com.sec.android.app.shealth,
2020-01-14 22:11:17.198,3238.77,3585,0,1549497600000,6.4722233,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.198,7bc980c6-cd15-4704-9468-26ef5de6a9ce.binning_data.json,7bc980c6-cd15-4704-9468-26ef5de6a9ce,181.17,com.sec.android.app.shealth,
2020-01-14 22:11:17.216,4562.42,5620,0,1552262400000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.216,bf4a76de-2bcd-47ef-a83d-05f301fa49ec.binning_data.json,bf4a76de-2bcd-47ef-a83d-05f301fa49ec,230.54999,com.sec.android.app.shealth,
2020-01-14 22:11:17.214,5657.61,7151,0,1552003200000,4.9738464,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.214,d5822a76-3ca2-427e-94e1-13b50112a7a5.binning_data.json,d5822a76-3ca2-427e-94e1-13b50112a7a5,268.99997,com.sec.android.app.shealth,
2020-01-14 22:11:17.201,3436.13,3842,0,1550016000000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.201,9c5dfce3-82ff-4d10-849c-d0be7b586928.binning_data.json,9c5dfce3-82ff-4d10-849c-d0be7b586928,185.2,com.sec.android.app.shealth,
2020-01-14 22:11:17.205,2110.73,2641,0,1550534400000,3.4722223,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.205,1d55ccbc-2077-49f2-82cf-6ce0d1f7d23a.binning_data.json,1d55ccbc-2077-49f2-82cf-6ce0d1f7d23a,98.369995,com.sec.android.app.shealth,
2020-01-14 22:11:17.224,5043.67,6260,0,1553904000000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.224,c7ec1b1e-7469-4be2-955a-f063c99b3e99.binning_data.json,c7ec1b1e-7469-4be2-955a-f063c99b3e99,236.04999,com.sec.android.app.shealth,
2020-01-14 22:11:17.219,2054.91,2542,0,1552780800000,5.1666665,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.219,699a2719-d163-4aee-88ef-9633e43461d4.binning_data.json,699a2719-d163-4aee-88ef-9633e43461d4,102.399994,com.sec.android.app.shealth,
2020-01-14 22:11:17.217,3702.74,4650,0,1552521600000,5.0555544,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.217,0c6efc62-121e-4ca7-b06f-a4d5fe44dd97.binning_data.json,0c6efc62-121e-4ca7-b06f-a4d5fe44dd97,176.28,com.sec.android.app.shealth,
2020-01-14 22:11:17.221,4840.84,6101,0,1553299200000,6.630464,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.221,feff130a-7a77-4b22-a5ea-e3e1a6a6f1fd.binning_data.json,feff130a-7a77-4b22-a5ea-e3e1a6a6f1fd,246.46999,com.sec.android.app.shealth,
2020-01-14 22:11:17.207,2030.5599,2538,0,1551052800000,5.228771,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.207,ead66f85-e15d-42e0-bd41-17424bba30b8.binning_data.json,ead66f85-e15d-42e0-bd41-17424bba30b8,97.77,com.sec.android.app.shealth,
2020-01-14 22:11:17.227,2448.95,2935,0,1554422400000,5.7222223,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.227,ed95574a-b653-4b99-9ad9-db9937ea7d40.binning_data.json,ed95574a-b653-4b99-9ad9-db9937ea7d40,129.65,com.sec.android.app.shealth,
2020-01-14 22:11:17.235,2061.17,2508,0,1556064000000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.235,9c0cbe34-9a28-449a-81b9-7c3c60cb1a38.binning_data.json,9c0cbe34-9a28-449a-81b9-7c3c60cb1a38,95.14,com.sec.android.app.shealth,
2020-01-14 22:11:17.224,5433.04,6714,0,1553817600000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.224,340fa022-cd28-49e7-9585-a7539593ed1a.binning_data.json,340fa022-cd28-49e7-9585-a7539593ed1a,252.52998,com.sec.android.app.shealth,
2020-01-14 22:11:17.238,5168.43,6525,0,1556582400000,4.3333335,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.238,fe065b60-f6ee-4fd9-b2e3-9466cec91e96.binning_data.json,fe065b60-f6ee-4fd9-b2e3-9466cec91e96,244.17998,com.sec.android.app.shealth,
2020-01-14 22:11:17.220,8025.5903,11129,0,1553040000000,3.4722223,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.220,5fbf309e-5365-4bef-984d-38a05bdd3f10.binning_data.json,5fbf309e-5365-4bef-984d-38a05bdd3f10,475.61,com.sec.android.app.shealth,
2020-01-14 22:11:17.227,14195.47,18538,0,1554336000000,5.61111,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.227,4e4b4613-5e4e-499d-8133-bbe904320abf.binning_data.json,4e4b4613-5e4e-499d-8133-bbe904320abf,701.70996,com.sec.android.app.shealth,
2020-01-14 22:11:17.230,5769.02,7350,0,1554940800000,3.2488403,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.230,9034dda0-8885-4e56-8cc3-6bed6353f7d8.binning_data.json,9034dda0-8885-4e56-8cc3-6bed6353f7d8,262.97998,com.sec.android.app.shealth,
2020-01-14 22:11:17.229,15686.35,19949,0,1554854400000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.229,5f8f7169-4586-4fa0-8823-25b1aeb0643c.binning_data.json,5f8f7169-4586-4fa0-8823-25b1aeb0643c,671.76996,com.sec.android.app.shealth,
2020-01-14 22:11:17.232,7914.73,10174,0,1555372800000,3.8055558,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.232,0e4033dc-0941-4ae5-8747-d13247b8435f.binning_data.json,0e4033dc-0941-4ae5-8747-d13247b8435f,369.34,com.sec.android.app.shealth,
2020-01-14 22:11:17.232,9850.68,12610,0,1555459200000,3.1944444,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.232,cf2f31b7-41ec-475d-a932-609622130c67.binning_data.json,cf2f31b7-41ec-475d-a932-609622130c67,463.36,com.sec.android.app.shealth,
2020-01-14 22:11:17.234,3001.0698,3726,0,1555891200000,3.5387652,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.234,19480ed4-5a44-4b18-9976-636223e9b5ea.binning_data.json,19480ed4-5a44-4b18-9976-636223e9b5ea,144.26999,com.sec.android.app.shealth,
2020-01-14 22:11:17.237,1527.2,1881,0,1556409600000,4.138889,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.237,1db4b2fb-be15-462e-b58a-52f17bada6e4.binning_data.json,1db4b2fb-be15-462e-b58a-52f17bada6e4,71.52,com.sec.android.app.shealth,
2020-01-14 22:11:17.223,3338.62,4170,0,1553558400000,3.6111114,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.223,8da8b4a8-3896-450c-9e81-41a1120c868f.binning_data.json,8da8b4a8-3896-450c-9e81-41a1120c868f,156.90999,com.sec.android.app.shealth,
2020-01-14 22:11:17.239,1209.51,1504,0,1556928000000,3.8333333,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.239,bf2da9ac-6708-4125-ae09-1a05c73d9ed9.binning_data.json,bf2da9ac-6708-4125-ae09-1a05c73d9ed9,59.87,com.sec.android.app.shealth,
2020-01-14 22:11:17.235,5134.3,6419,0,1555977600000,3.7222228,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.235,c5a9132e-710d-4c4f-9806-1d8281f09f33.binning_data.json,c5a9132e-710d-4c4f-9806-1d8281f09f33,240.84999,com.sec.android.app.shealth,
2020-01-14 22:11:17.237,7261.93,9052,0,1556496000000,5.694445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.237,1be7d386-537c-4876-a1ed-3d3a074c3db1.binning_data.json,1be7d386-537c-4876-a1ed-3d3a074c3db1,356.05,com.sec.android.app.shealth,
2020-01-14 22:11:17.242,3961.72,4869,0,1557446400000,6.777777,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.242,79de820c-1e5c-4fc4-b54c-dca1a4c2e0fd.binning_data.json,79de820c-1e5c-4fc4-b54c-dca1a4c2e0fd,184.2,com.sec.android.app.shealth,
2020-01-14 22:11:17.211,1759.18,2230,0,1551571200000,3.333333,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.211,695db741-7a16-492f-aa6f-efb79bca1aa4.binning_data.json,695db741-7a16-492f-aa6f-efb79bca1aa4,88.24,com.sec.android.app.shealth,
2020-01-14 22:11:17.240,2511.82,3125,0,1557100800000,3.8333333,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.240,b79d5eac-31c5-47ac-a864-e03bdd22f32b.binning_data.json,b79d5eac-31c5-47ac-a864-e03bdd22f32b,117.32,com.sec.android.app.shealth,
2020-01-14 22:11:17.225,3092.2,3850,0,1554076800000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.225,fc9877db-6703-42e8-9ead-3af02051b371.binning_data.json,fc9877db-6703-42e8-9ead-3af02051b371,151.56999,com.sec.android.app.shealth,
2020-01-14 22:11:17.215,4804.42,6108,0,1552089600000,3.6388888,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.215,61b8619a-e27f-478e-9032-752fffdde29b.binning_data.json,61b8619a-e27f-478e-9032-752fffdde29b,229.86998,com.sec.android.app.shealth,
