com.samsung.shealth.sleep,6100041,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
84.0,44dde66a-5f51-8f5c-66b5-717d3175d5d9.extra_data.json,,,0,,,1573633080000,com.sec.android.app.shealth,1573656164927,1573656164927,UTC-0500,44dde66a-5f51-8f5c-66b5-717d3175d5d9,,1573655100000,,hytsFLPcD3,
86.0,8ce12f24-d144-f29f-15e9-fb33f1f9c6b5.extra_data.json,,,0,,,1573286160000,com.sec.android.app.shealth,1573314518363,1573314518363,UTC-0500,8ce12f24-d144-f29f-15e9-fb33f1f9c6b5,,1573313400000,,hytsFLPcD3,
90.0,584b11d9-bf06-05a1-e7bc-0ea92667efaa.extra_data.json,,,0,,,1572417360000,com.sec.android.app.shealth,1572436397414,1572436397414,UTC-0500,584b11d9-bf06-05a1-e7bc-0ea92667efaa,,1572436080000,,hytsFLPcD3,
88.0,8ba32895-147a-766a-fc2b-cf0ddfe7c63b.extra_data.json,,,0,,,1578556500000,com.sec.android.app.shealth,1578586736608,1578586736608,UTC-0600,8ba32895-147a-766a-fc2b-cf0ddfe7c63b,,1578586620000,,hytsFLPcD3,
80.0,40ff2de8-ad69-48be-1853-19cf4645d63c.extra_data.json,,,0,,,1570785360000,com.sec.android.app.shealth,1570801009039,1570801009039,UTC-0400,40ff2de8-ad69-48be-1853-19cf4645d63c,,1570800780000,,hytsFLPcD3,
74.0,77953fd1-86e5-6ad7-14be-3a98456af308.extra_data.json,,,0,,,1575424020000,com.sec.android.app.shealth,1575433111432,1575433111432,UTC-0500,77953fd1-86e5-6ad7-14be-3a98456af308,,1575432120000,,hytsFLPcD3,
82.0,1f99ce48-d1d6-f495-be32-3262a2970dd4.extra_data.json,,,0,,,1570709880000,com.sec.android.app.shealth,1570718645005,1570718645005,UTC-0400,1f99ce48-d1d6-f495-be32-3262a2970dd4,,1570717920000,,hytsFLPcD3,
85.0,133648c4-3e0f-53d9-068e-39edc6bd8d7e.extra_data.json,,,0,,,1570257060000,com.sec.android.app.shealth,1570277636507,1570277636507,UTC-0400,133648c4-3e0f-53d9-068e-39edc6bd8d7e,,1570276800000,,hytsFLPcD3,
86.0,1a7b1e1d-0e68-d501-1cdd-fac8c403fe00.extra_data.json,,,0,,,1574923380000,com.sec.android.app.shealth,1574945219574,1574945219574,UTC-0500,1a7b1e1d-0e68-d501-1cdd-fac8c403fe00,,1574944980000,,hytsFLPcD3,
82.0,94f7d74e-25bf-edc9-81e8-45ea1ec961c9.extra_data.json,,,0,,,1570735980000,com.sec.android.app.shealth,1570741356370,1570741356370,UTC-0400,94f7d74e-25bf-edc9-81e8-45ea1ec961c9,,1570741140000,,hytsFLPcD3,
82.0,daad9bfd-1933-8cdd-5159-e32110b74bf1.extra_data.json,,,0,,,1577413440000,com.sec.android.app.shealth,1577421734119,1577421734119,UTC-0600,daad9bfd-1933-8cdd-5159-e32110b74bf1,,1577421660000,,hytsFLPcD3,
82.0,ab25dc71-62fd-368e-7817-82d67c5e52ec.extra_data.json,,,0,,,1572438240000,com.sec.android.app.shealth,1572446708567,1572446708567,UTC-0500,ab25dc71-62fd-368e-7817-82d67c5e52ec,,1572446580000,,hytsFLPcD3,
0.0,,,,,,50003,1552291200000,com.sec.android.app.shealth,1552326884337,1552326884337,UTC-0600,62e2ae4b-c403-476d-8645-469d036be4df,,1552309800000,,eL5K8TBQJK,
92.0,8ceb7f1a-3be9-1c4c-b613-c9d0c11ed886.extra_data.json,,,0,,,1565072940000,com.sec.android.app.shealth,1565095014966,1565095014966,UTC-0400,8ceb7f1a-3be9-1c4c-b613-c9d0c11ed886,,1565094840000,,hytsFLPcD3,
90.0,a858c0d2-936f-d3db-ed0b-9aa45ae1290b.extra_data.json,,,0,,,1565508060000,com.sec.android.app.shealth,1565532621773,1565532621773,UTC-0400,a858c0d2-936f-d3db-ed0b-9aa45ae1290b,,1565532360000,,hytsFLPcD3,
85.0,c668567d-257f-b550-debe-de6efc16ab93.extra_data.json,,,0,,,1574565720000,com.sec.android.app.shealth,1574582938389,1574582938389,UTC-0500,c668567d-257f-b550-debe-de6efc16ab93,,1574582700000,,hytsFLPcD3,
79.0,44a47335-173c-abc1-a1bf-7c62f7880afa.extra_data.json,,,0,,,1578970080000,com.sec.android.app.shealth,1578986667823,1578986667823,UTC-0500,44a47335-173c-abc1-a1bf-7c62f7880afa,,1578985620000,,hytsFLPcD3,
85.0,d972573b-001f-2ecd-3ca0-ac3a249253cf.extra_data.json,,,0,,,1577011260000,com.sec.android.app.shealth,1577034268576,1577034268576,UTC-0600,d972573b-001f-2ecd-3ca0-ac3a249253cf,,1577034060000,,hytsFLPcD3,
90.0,2d043863-3add-55b3-fb0e-009ca4e76c1c.extra_data.json,,,0,,,1566316500000,com.sec.android.app.shealth,1566333671897,1566333671897,UTC-0400,2d043863-3add-55b3-fb0e-009ca4e76c1c,,1566333420000,,hytsFLPcD3,
80.0,af3fa58c-5e53-1004-a186-95dec4bf5cf4.extra_data.json,,,0,,,1575702720000,com.sec.android.app.shealth,1575731804467,1575731804467,UTC-0500,af3fa58c-5e53-1004-a186-95dec4bf5cf4,,1575731520000,,hytsFLPcD3,
80.0,6734983f-8411-6a77-7682-c392559e98a7.extra_data.json,,,0,,,1574588100000,com.sec.android.app.shealth,1574610261890,1574610261890,UTC-0500,6734983f-8411-6a77-7682-c392559e98a7,,1574609160000,,hytsFLPcD3,
73.0,869fefa5-5ca9-50b0-16b1-6d06f0df61a1.extra_data.json,,,0,,,1572216000000,com.sec.android.app.shealth,1572223111340,1572223111340,UTC-0500,869fefa5-5ca9-50b0-16b1-6d06f0df61a1,,1572222840000,,hytsFLPcD3,
90.0,e3253c90-1e25-5d1b-0867-df1549821284.extra_data.json,,,0,,,1565756640000,com.sec.android.app.shealth,1565783498260,1565783498260,UTC-0400,e3253c90-1e25-5d1b-0867-df1549821284,,1565783280000,,hytsFLPcD3,
