com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
15413,0,4,25,1589662226562,18.41,UTC-0500,,25,1589661540000,1.1944444,jpgso+yMpj,1589661480000,com.sec.android.app.shealth,1589662226562,728ad420-5aa0-4adf-acfd-fd6a4a3c0b84,0.93,,
10823,0,4,15,1589665943778,10.670001,UTC-0500,,15,1589665980000,0.9858454,jpgso+yMpj,1589665920000,com.sec.android.app.shealth,1589665950840,aadf901d-edd0-4f02-9ca2-9194c11ce3d0,0.58,,
5512,0,4,11,1589660324290,9.8,UTC-0500,,11,1589660279999,1.7777778,hytsFLPcD3,1589660220000,com.sec.android.app.shealth,1589660324291,ea85a76c-13e3-aa0b-0c72-628fafc5cc1d,0.45,230002,
25144,0,4,48,1589661662320,36.32,UTC-0500,,48,1589661599999,1.4444444,hytsFLPcD3,1589661540000,com.sec.android.app.shealth,1589661662320,1ac626d8-3204-bcf2-beb4-8fc00cc712a9,1.67,230002,
12656,0,4,22,1589665750635,15.82,UTC-0500,,22,1589665199999,1.25,hytsFLPcD3,1589665140000,com.sec.android.app.shealth,1589665750635,0fafa106-d9cd-2de7-784d-7ed428147981,0.76,230002,
28770,0,4,29,1589675345349,28.77,UTC-0500,,46,1589675220000,1.0,jpgso+yMpj,1589675160000,com.sec.android.app.shealth,1589675345349,9a683226-91ed-4279-ad18-dcb02922c0ee,2.57,,
25779,0,4,29,1589678101967,29.36,UTC-0500,,46,1589677800000,1.1388888,jpgso+yMpj,1589677740000,com.sec.android.app.shealth,1589678101967,26dc6df5-6f61-417a-9249-10dc38abec43,1.8,,
15348,0,4,24,1589679140474,17.48,UTC-0500,,24,1589678580000,1.1388888,jpgso+yMpj,1589678520000,com.sec.android.app.shealth,1589679140474,0d07ea1d-6608-421a-beae-8a94e69cb4a1,0.91,,
8673,0,4,11,1589679140755,7.71,UTC-0500,,11,1589679120000,0.8888889,jpgso+yMpj,1589679060000,com.sec.android.app.shealth,1589679140755,abf33778-8e7a-4e2c-91ff-7bd9e0b04515,0.42,,
21514,0,4,35,1589671413308,25.1,UTC-0500,,35,1589671379999,1.1666666,hytsFLPcD3,1589671320000,com.sec.android.app.shealth,1589671413308,8cc4e85d-c768-8b00-9579-fe145b3ffef7,1.21,230002,
