com.samsung.shealth.activity.goal,6100041,1
pkg_name,update_time,create_time,time_offset,datauuid,set_time,value,deviceuuid
com.sec.android.app.shealth,2019-06-26 21:36:42.273,2019-06-26 21:36:42.273,UTC-0600,5df2ab51-a220-4f67-864e-e09043d72cee,1561585002271,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:32:01.846,2019-06-26 23:32:01.846,UTC-0500,a20c5320-daa6-4202-9229-4c4828625db2,1561591921844,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-11-05 05:26:11.581,2019-11-05 05:26:11.581,UTC-0500,9dcd7c12-9ff7-4fd3-b64d-b25511c3f3ea,1572931571561,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 22:24:18.022,2019-06-26 22:24:18.022,UTC-0500,e23bfafa-9756-4739-8916-3848ece1d7d4,1561587858020,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:36:26.899,2019-06-26 21:36:26.899,UTC-0500,fa9bd3ae-dcb5-4f06-af54-cc408d7b2d79,1561584986893,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 18:06:01.265,2019-06-26 18:06:01.265,UTC-0500,6a1c4ba1-7463-46d0-bf4c-1ba0ac078a6d,1561572361261,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:02:09.189,2019-06-26 20:02:09.189,UTC-0500,7b4e9519-d703-4b23-8f51-8f0f16019818,1561579329183,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:30:42.045,2019-06-27 04:30:42.045,UTC-0500,85aff8aa-c6b6-41a8-b166-aa1238833e33,1561609842043,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:29:38.249,2019-06-27 03:29:38.249,UTC-0500,9a240cab-4c44-421f-b976-e8d07b0f2526,1561606178248,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-04 23:16:07.052,2019-07-04 23:16:07.052,UTC-0400,3fde64cb-7829-4791-83ca-4a34c223c6eb,1562282167050,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:48:56.682,2019-06-26 20:48:56.682,UTC-0500,e888f8ab-1afa-46d0-9400-3cddb5f3f8cd,1561582136681,60,eL5K8TBQJK,
com.sec.android.app.shealth,2020-02-01 05:56:42.001,2020-02-01 05:56:42.001,UTC-0600,6b752d8c-d675-4abe-a456-d50068208989,1580536601983,60,jpgso+yMpj,
com.sec.android.app.shealth,2019-06-26 19:40:06.586,2019-06-26 19:40:06.586,UTC-0500,8e820970-3122-4f12-ace9-04d07567e337,1561578006583,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:01:34.144,2019-06-26 20:01:34.144,UTC-0600,9cb0e512-ed32-42d5-b7d9-c8e6be489185,1561579294141,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:15:40.066,2019-06-26 23:15:40.066,UTC-0500,ae58e355-a3f5-41fb-8b5e-0bab32e0b241,1561590940061,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:23:19.142,2019-06-26 21:23:19.142,UTC-0600,8424d1dd-c6da-4a9d-918f-a2fd7e59bfa3,1561584199136,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:14:15.334,2019-06-26 21:14:15.334,UTC-0600,fe91f712-1e60-4221-b999-899ccb9db737,1561583655320,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-01-10 08:19:36.628,2019-01-10 08:19:36.628,UTC-0600,b6d2729d-a312-4669-b7c3-2572661994a5,1547108376625,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:29:27.613,2019-06-27 03:29:27.613,UTC-0600,940e6291-cc75-4020-a334-8e7a578122e7,1561606167607,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:11:14.326,2019-06-27 01:11:14.326,UTC-0500,2a7700e1-16e2-4d76-86db-3eb73776e879,1561597874322,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:31:06.367,2019-06-27 04:31:06.367,UTC-0500,c6d17773-837a-4571-9320-2142caa7660c,1561609866365,60,eL5K8TBQJK,
com.sec.android.app.shealth,2020-03-06 10:23:01.305,2020-03-06 10:23:01.305,UTC-0500,3d398bef-8cd2-4cbf-8c8d-69ebe0213ce8,1583490181302,60,jpgso+yMpj,
com.sec.android.app.shealth,2019-06-26 20:46:21.179,2019-06-26 20:46:21.179,UTC-0500,d9d17c16-0163-455e-8b6a-f059c25e8c83,1561581981157,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:31:22.219,2019-06-26 23:31:22.219,UTC-0600,6863defd-de64-4cba-9ea4-46f21c4f8f32,1561591882216,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:31:43.718,2019-06-27 04:31:43.718,UTC-0500,5b98f246-fdde-4fd7-a2a9-79d8d5b55365,1561609903716,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:06:28.225,2019-06-27 01:06:28.225,UTC-0500,e6d08817-bfa6-4855-939f-735d4ed8787f,1561597588223,60,eL5K8TBQJK,
com.sec.android.app.shealth,2020-02-03 23:43:52.716,2020-02-03 23:43:52.716,UTC-0500,c92ed8fe-6235-4450-b70d-68b7800ebe6e,1580773432714,60,jpgso+yMpj,
