com.samsung.shealth.stand_day_summary,6100041,1
pkg_name,update_time,stand_time,create_time,datauuid,day_time,deviceuuid
com.sec.android.app.shealth,2020-04-09 04:19:11.509,5525504,2020-04-08 06:00:04.295,e86be90b-f30a-c945-698d-5381508fae11,1586304000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-09 03:21:07.279,2367488,2019-11-08 06:00:26.423,521eb94b-2b75-7259-2a86-1d0aec8a362f,1573171200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-04-15 03:50:52.313,3713026,2020-04-14 06:00:06.442,b5b064ed-1720-40ed-5f45-9450c9ff035b,1586822400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-04-21 05:10:42.446,10748932,2020-04-20 06:00:11.716,70b18dfa-57c9-81c1-a25d-873b1480ad67,1587340800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-04-27 05:21:23.307,10485760,2020-04-26 06:00:07.757,8ca24bb9-3aea-5c1a-1aea-ee308214ae04,1587859200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-08 03:40:44.178,3276800,2019-12-07 06:00:04.667,ce3e094e-8e8c-320d-4620-8b0d892b4e04,1575676800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-03 04:42:41.285,8388609,2019-08-02 05:00:06.702,1173c3be-2952-4c4c-d324-d248e5998986,1564704000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-05-03 05:48:25.348,14811137,2020-05-02 06:00:16.503,c2ba729e-94cb-0fa1-52f1-7a38af7688ff,1588377600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-05-09 05:14:42.383,10895873,2020-05-08 06:00:13.675,e1035fbc-a0ab-b6d2-34b5-83688d516e5a,1588896000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-21 02:13:14.327,1353728,2019-11-20 15:46:31.488,f7b2b10e-cff7-e01d-0753-1d3868ae3119,1574208000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-26 05:00:34.163,0,2019-10-26 05:00:34.163,9440d754-38ae-4a58-d1ff-735402d67d82,1572048000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-05 06:04:41.264,8396800,2019-11-04 07:01:04.406,0d0a81ca-9cb5-100c-bc3a-7bc24214116c,1572825600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-05-14 20:41:19.370,18944,2020-05-14 06:00:04.935,36fbf735-eb7a-51f6-d8a6-3fe4e6e8870a,1589414400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-04 04:12:07.303,2097156,2020-01-03 07:02:06.778,3ab0ffd8-4615-6f91-c53a-a9aaac205c2d,1578009600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-21 00:32:54.225,131078,2019-12-20 07:00:18.431,eda42dfd-0d3e-02d6-5610-73d5a30de333,1576800000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-05-21 02:19:53.375,1135616,2020-05-20 06:00:05.074,c0abed3f-bad4-4274-a8cc-ca4c8ba61932,1589932800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-09 06:28:36.784,13238273,2020-01-08 07:00:14.515,369eb328-bce6-8de7-247c-111db6e7f6e7,1578441600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-15 03:31:09.406,3145728,2020-01-14 23:51:42.251,820ef8e6-cbd3-82f9-8e67-4813adcecdb4,1578960000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-10 01:00:55.315,1332224,2019-10-09 05:00:12.935,577742a0-003b-09bd-bd13-55185e4465ef,1570579200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-21 02:49:26.270,1872512,2020-01-20 06:00:07.202,264c6291-0de6-3665-ae35-23e39ae5e3b9,1579478400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-05-27 01:56:50.391,688128,2020-05-26 06:00:10.025,12fa180d-0a9a-9961-4933-2915b3e7eab5,1590451200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-22 18:09:46.839,8448,2019-10-22 05:00:10.407,83c9ec78-8308-d6bf-d8c6-6c87eefbb6e5,1571702400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-27 02:56:58.392,1056768,2020-01-26 06:00:10.294,7600a66d-504e-271b-776b-9d47f619578d,1579996800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-02 05:20:49.301,5898240,2020-02-01 06:00:13.141,96a8ed53-067a-756e-2a97-b6284810377c,1580515200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-06-02 05:30:26.584,8401024,2020-06-01 06:00:14.334,cee5fd11-4531-1e3e-5f26-7be211e30bd8,1590969600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-08 01:05:13.376,872704,2020-02-07 06:00:13.422,d4eb26de-86c5-8dd5-c324-9d17d2403060,1581033600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-31 01:24:54.747,4,2019-07-30 05:00:04.966,8b9111d3-8258-75a5-0294-2c704500a059,1564444800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-14 05:41:33.301,8526080,2020-02-13 06:00:05.015,5ca3ef0c-b047-5a05-6143-ccdf17d238fd,1581552000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-20 03:02:27.308,2459904,2020-02-19 06:00:11.550,63c29f14-9874-28d7-cb56-bd6a990cbaa0,1582070400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-06-08 04:06:17.315,4816896,2020-06-07 06:00:07.633,b6b6722e-411d-3288-7394-e1a1c2956acc,1591488000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-16 05:04:14.343,8521729,2019-11-15 06:00:10.139,a1a51dd6-946e-5528-1e41-0f6dcb3bc5b6,1573776000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-12 01:59:23.312,742403,2019-11-11 06:00:11.744,4fbe41e7-2535-f1af-1d73-fde4bf1e6df3,1573430400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-25 05:27:29.434,8396808,2019-11-24 06:00:18.846,fa8a3e0f-722c-bb56-2d5b-d36c98a8e0ce,1574553600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-06-13 21:44:10.259,51204,2020-06-13 06:00:08.909,1c5f7663-9509-3b71-ff74-195e57fd5403,1592006400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-26 00:50:51.400,284928,2020-02-25 06:00:08.457,b6f9cfff-3bd0-d892-4cc6-e120e27ebeb7,1582588800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-15 22:23:27.308,164096,2019-08-15 05:00:09.765,9b9bdfe8-0459-48cd-e830-4c77330ab523,1565827200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-30 05:14:00.368,8554752,2019-10-29 06:00:51.316,104abc3e-c3d2-e96f-a9bf-d81812bcaf31,1572307200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-23 03:51:14.964,540672,2019-07-22 06:00:09.799,dc8179eb-9c62-32d1-a8d5-0b9687ef47b3,1563753600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-18 04:45:53.413,2297856,2019-12-17 07:00:04.877,b10bd4fc-f263-1b98-51fd-02474af5db78,1576540800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-14 01:58:40.282,1052676,2019-09-13 05:00:04.156,fa22d98e-aa7f-f1bc-bacc-63d023dc89d5,1568332800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-14 02:17:33.282,1179648,2019-12-13 06:00:17.287,0136020a-92d5-b0ce-8963-c695fd208b0a,1576195200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-03 05:56:42.287,9460992,2020-03-02 06:00:05.848,a3509791-35af-8009-92c6-ceb783cb59a3,1583107200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-11 21:58:03.358,65536,2019-08-11 05:00:04.680,106e3993-1724-85be-ac79-4d52dd2706f9,1565481600000,hytsFLPcD3,
