com.samsung.shealth.stress,6100041,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2019-08-22 23:01:30.582,UTC-0400,100.0,,2019-08-22 22:59:59.999,hytsFLPcD3,2019-08-22 22:00:00.000,74.0,com.sec.android.app.shealth,2019-08-22 23:01:30.582,0.0,64af57b8-f3c2-05bc-0130-c75a88e25599.binning_data.json,64af57b8-f3c2-05bc-0130-c75a88e25599,10011,,1,
2019-08-02 08:03:43.847,UTC-0400,100.0,,2019-08-02 07:59:59.999,hytsFLPcD3,2019-08-02 07:00:00.000,4.0,com.sec.android.app.shealth,2019-08-02 08:03:43.847,0.0,9dcff942-cb83-fa3b-574f-cd8d2d10cfdd.binning_data.json,9dcff942-cb83-fa3b-574f-cd8d2d10cfdd,10011,,1,
2019-08-18 07:01:03.252,UTC-0400,99.0,,2019-08-18 06:59:59.999,hytsFLPcD3,2019-08-18 06:00:00.000,55.0,com.sec.android.app.shealth,2019-08-18 07:01:03.252,0.0,ca635d4f-aa8a-33e1-f41a-8cff83dd4c6d.binning_data.json,ca635d4f-aa8a-33e1-f41a-8cff83dd4c6d,10011,,1,
2019-08-17 05:34:27.522,UTC-0400,100.0,,2019-08-17 05:59:59.999,hytsFLPcD3,2019-08-17 05:00:00.000,53.0,com.sec.android.app.shealth,2019-08-17 06:01:38.526,0.0,a54b5dea-19af-0d27-1bb7-eaf646f98ca4.binning_data.json,a54b5dea-19af-0d27-1bb7-eaf646f98ca4,10011,,1,
2019-08-04 16:03:26.643,UTC-0400,100.0,,2019-08-04 15:59:59.999,hytsFLPcD3,2019-08-04 15:00:00.000,39.0,com.sec.android.app.shealth,2019-08-04 16:03:26.643,0.0,66b79fb2-3d6b-5e70-8035-0f3154cb46ce.binning_data.json,66b79fb2-3d6b-5e70-8035-0f3154cb46ce,10011,,1,
2019-08-06 05:15:02.348,UTC-0400,100.0,,2019-08-06 05:59:59.999,hytsFLPcD3,2019-08-06 05:00:00.000,18.0,com.sec.android.app.shealth,2019-08-06 06:04:48.652,0.0,04f82b9a-aa46-5eef-65f4-379bf06cc5d5.binning_data.json,04f82b9a-aa46-5eef-65f4-379bf06cc5d5,10011,,1,
2019-08-08 00:31:29.914,UTC-0400,100.0,,2019-08-08 00:59:59.999,hytsFLPcD3,2019-08-08 00:00:00.000,75.0,com.sec.android.app.shealth,2019-08-08 01:01:17.608,0.0,5579e370-94f5-4820-d39d-a22f9e3f84fa.binning_data.json,5579e370-94f5-4820-d39d-a22f9e3f84fa,10011,,1,
2019-07-25 22:02:42.758,UTC-0400,100.0,,2019-07-25 21:59:59.999,hytsFLPcD3,2019-07-25 21:00:00.000,47.0,com.sec.android.app.shealth,2019-07-25 22:02:42.758,0.0,86d3b701-7189-0a18-9f02-104c3a26a8ba.binning_data.json,86d3b701-7189-0a18-9f02-104c3a26a8ba,10011,,1,
2019-07-24 16:01:38.899,UTC-0500,100.0,,2019-07-24 15:59:59.999,hytsFLPcD3,2019-07-24 15:00:00.000,32.0,com.sec.android.app.shealth,2019-07-24 16:01:38.899,0.0,918bca94-3f1c-529a-fb24-83c5d2cd30e6.binning_data.json,918bca94-3f1c-529a-fb24-83c5d2cd30e6,10011,,1,
2019-08-12 13:01:36.546,UTC-0400,100.0,,2019-08-12 12:59:59.999,hytsFLPcD3,2019-08-12 12:00:00.000,21.0,com.sec.android.app.shealth,2019-08-12 13:01:36.546,0.0,08f9852a-94d3-9c83-41ba-e23329e550b1.binning_data.json,08f9852a-94d3-9c83-41ba-e23329e550b1,10011,,1,
