com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,2c62cc79-f03d-300a-58ac-35920154156b,19.334974,1,0,hytsFLPcD3,2019-08-13 16:52:20.398,9.0,2,f0a8ddfb-6e0b-39dd-3f13-4a12ff68c576,,TWC,21.0,56,,-99.201195,2019-08-13 16:52:20.398,UTC+0100,,,,2019-08-13 16:30:31.890,com.sec.android.app.shealth,Parcialmente nublado,,
0,ebaa3666-8fca-4ea9-9cf9-84c39697095c,24.841328,1,1,eL5K8TBQJK,2019-05-23 13:35:20.709,,1,4b484681-e6ad-457f-bc67-148ec82be952,0,TWC,19.0,75,0.0,-107.36358,2019-05-23 13:35:20.709,UTC-0500,km/h,,N. 10,2019-05-23 13:35:20.707,com.sec.android.app.shealth,Soleado,0,
,2c119d32-b2a8-caab-9b28-c65755596196,19.34211,1,0,hytsFLPcD3,2019-11-26 02:39:06.308,0.0,18,fc285c01-626b-1f0d-aa45-cdfd5ce3b6b8,,TWC,17.0,62,,-99.19953,2019-11-26 02:39:06.308,UTC+0100,,,,2019-11-26 02:26:11.620,com.sec.android.app.shealth,Despejado,,
,e854d305-2465-5808-7030-aec6ab4b9e3e,19.342342,1,0,hytsFLPcD3,2019-09-07 22:02:40.346,3.0,3,fec1e13c-2bc9-5a80-1c02-2c3792204334,,TWC,21.0,59,,-99.193474,2019-09-07 22:02:40.346,UTC+0100,,,,2019-09-07 21:45:48.040,com.sec.android.app.shealth,Mayormente nublado,,
,66ba2997-ac62-4edc-f27b-9969c195b34a,19.34108,1,0,hytsFLPcD3,2019-12-03 22:34:07.361,1.0,1,d3ecfaab-e516-4dc1-d070-7de8fca63bf6,,TWC,23.0,23,,-99.19123,2019-12-03 22:34:07.361,UTC+0100,,,,2019-12-03 22:07:22.480,com.sec.android.app.shealth,Soleado,,
0,09eb8cd5-be9f-47d9-885b-c9c043d6f655,24.815224,1,1,eL5K8TBQJK,2019-05-17 00:29:54.661,,1,8205c558-4c54-409a-89e3-75cfcd2958be,0,TWC,30.0,33,14.0,-107.38876,2019-05-17 00:29:54.661,UTC-0500,km/h,,SO. 230,2019-05-17 00:29:54.658,com.sec.android.app.shealth,Soleado,0,
0,55255c56-aab9-4674-903e-f1195ca0e832,19.440065,1,1,eL5K8TBQJK,2019-06-04 17:10:26.648,,3,6ebcd315-bda7-478b-b9e9-303da83e84b0,0,TWC,21.0,64,5.0,-99.2015,2019-06-04 17:10:26.648,UTC-0400,km/h,,ESE. 120,2019-06-04 17:10:26.643,com.sec.android.app.shealth,Muy nublado,0,
0,bc529059-6b98-4d87-a3d9-f79396335924,19.34483,1,1,eL5K8TBQJK,2019-10-01 13:31:38.532,,2,aa54fb80-0ffc-4b6f-a059-946ed25da16d,0,TWC,14.0,83,10.0,-99.19932,2019-10-01 13:31:38.532,UTC-0400,km/h,,E. 100,2019-10-01 13:31:38.528,com.sec.android.app.shealth,Parcialmente nublado,0,
,11bd1550-b7ae-fe26-137c-6391603c5975,19.343594,1,0,hytsFLPcD3,2020-02-23 17:03:41.482,7.0,1,ac883490-e69d-8bf3-a056-5dca81ff2dc8,,TWC,21.0,38,,-99.197426,2020-02-23 17:03:41.482,UTC-0500,,,,2020-02-23 16:47:08.620,com.sec.android.app.shealth,Soleado,,
,54d09387-4e48-ecb5-e8ff-8ec16e16e1a6,19.343945,1,0,hytsFLPcD3,2019-11-13 22:16:45.312,1.0,3,80b3d5f5-2a0c-11fc-4201-5cdf581bf525,,TWC,19.0,45,,-99.19934,2019-11-13 22:16:45.312,UTC+0100,,,,2019-11-13 22:04:03.800,com.sec.android.app.shealth,Mayormente nublado,,
